Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
341,1337.0628,42846,13200,13218,16426,2,1.40E-11
342,1344.681,43015,13258,13258,16497,2,1.41E-11
343,1352.3763,43163,13298,13307,16556,2,1.41E-11
344,1360.0336,43330,13343,13361,16620,6,1.41E-11
345,1367.6476,43499,13387,13417,16688,7,1.41E-11
346,1375.4123,43664,13439,13469,16749,7,1.41E-11
347,1383.088,43847,13506,13519,16815,7,1.42E-11
348,1390.8943,44017,13554,13567,16887,9,1.42E-11
349,1398.5239,44183,13595,13621,16957,10,1.42E-11
350,1406.4889,44344,13656,13669,17009,10,1.42E-11
351,1414.4158,44497,13709,13708,17067,13,1.43E-11
352,1422.4602,44677,13770,13753,17137,17,1.43E-11
353,1430.3868,44834,13814,13804,17196,20,1.43E-11
354,1438.3285,44976,13868,13847,17237,24,1.43E-11
355,1446.3614,45148,13931,13893,17297,27,1.43E-11
356,1454.2595,45316,13985,13934,17366,31,1.44E-11
357,1462.3741,45517,14050,13993,17434,40,1.44E-11
358,1470.3346,45711,14109,14051,17507,44,1.44E-11
359,1478.3321,45873,14153,14100,17571,49,1.44E-11
360,1486.5282,46063,14215,14151,17640,57,1.44E-11
361,1494.7781,46226,14265,14202,17695,64,1.45E-11
362,1502.9359,46398,14317,14260,17750,71,1.45E-11
363,1511.1238,46568,14369,14314,17805,80,1.45E-11
364,1519.2509,46737,14409,14358,17878,92,1.45E-11
365,1527.4335,46894,14458,14399,17936,101,1.46E-11
366,1535.6682,47065,14514,14451,17990,110,1.46E-11
367,1543.9141,47227,14564,14500,18047,116,1.46E-11
368,1552.0274,47414,14619,14554,18103,138,1.46E-11
369,1560.3452,47565,14665,14591,18151,158,1.46E-11
370,1568.89,47754,14725,14642,18213,174,1.47E-11
371,1577.2762,47907,14761,14683,18271,192,1.47E-11
372,1585.7736,48084,14815,14723,18337,209,1.47E-11
373,1594.2369,48261,14866,14777,18399,219,1.47E-11
374,1602.7634,48452,14912,14822,18475,243,1.47E-11
375,1611.2429,48632,14957,14878,18532,265,1.48E-11
376,1619.7768,48799,15000,14921,18594,284,1.48E-11
377,1628.323,48996,15047,14970,18668,311,1.48E-11
378,1636.9904,49159,15097,15015,18711,336,1.48E-11
379,1645.6786,49349,15145,15062,18781,361,1.49E-11
380,1654.526,49525,15189,15098,18847,391,1.49E-11
381,1663.0936,49683,15227,15130,18902,424,1.49E-11
382,1671.8527,49855,15265,15171,18965,454,1.49E-11
383,1680.5038,50016,15294,15213,19025,484,1.49E-11
384,1689.2996,50192,15349,15247,19083,513,1.50E-11
385,1698.1518,50393,15395,15283,19158,557,1.50E-11
386,1707.0145,50575,15424,15321,19227,603,1.50E-11
387,1715.8392,50752,15462,15362,19287,641,1.50E-11
388,1724.6968,50946,15503,15403,19356,684,1.50E-11
389,1733.7534,51134,15543,15441,19421,729,1.51E-11
390,1742.9028,51326,15590,15486,19485,765,1.51E-11
391,1751.7619,51520,15629,15527,19544,820,1.51E-11
392,1760.7225,51695,15654,15565,19605,871,1.51E-11
393,1769.6246,51883,15692,15611,19664,916,1.52E-11
394,1778.5966,52060,15741,15648,19705,966,1.52E-11
395,1787.5359,52252,15769,15684,19763,1036,1.52E-11
396,1796.6818,52442,15816,15710,19820,1096,1.52E-11
397,1805.8634,52655,15839,15756,19902,1158,1.52E-11
398,1815.0052,52843,15859,15796,19960,1228,1.53E-11
399,1824.168,53022,15894,15812,20019,1297,1.53E-11
400,1833.573,53214,15936,15844,20076,1358,1.53E-11
401,1842.9515,53404,15973,15885,20113,1433,1.53E-11
402,1852.3889,53588,16011,15915,20160,1502,1.54E-11
403,1861.6867,53786,16042,15952,20225,1567,1.54E-11
404,1871.131,53994,16081,15979,20289,1645,1.54E-11
405,1880.5746,54160,16101,16001,20334,1724,1.54E-11
406,1889.9877,54364,16130,16041,20401,1792,1.54E-11
407,1899.6391,54554,16143,16079,20459,1873,1.55E-11
408,1909.6016,54770,16177,16125,20519,1949,1.55E-11
409,1919.5662,54945,16187,16146,20580,2032,1.55E-11
410,1929.5726,55144,16229,16168,20633,2114,1.55E-11
411,1939.5698,55315,16237,16203,20673,2202,1.56E-11
412,1949.4485,55545,16290,16255,20726,2274,1.56E-11
413,1959.4697,55742,16310,16282,20784,2366,1.56E-11
414,1969.495,55931,16319,16304,20838,2470,1.56E-11
415,1979.4631,56130,16333,16345,20894,2558,1.57E-11
416,1989.5771,56365,16386,16390,20926,2663,1.57E-11
417,1999.6132,56563,16418,16400,20981,2764,1.57E-11
418,2009.6541,56759,16436,16433,21035,2855,1.57E-11
419,2019.8353,56952,16471,16454,21089,2938,1.57E-11
420,2030.0993,57154,16501,16487,21125,3041,1.58E-11
421,2040.2588,57337,16514,16502,21179,3142,1.58E-11
422,2050.4202,57532,16526,16526,21223,3257,1.58E-11
423,2060.75,57731,16535,16567,21280,3349,1.58E-11
424,2070.9301,57934,16548,16599,21327,3460,1.59E-11
425,2081.1857,58124,16570,16633,21366,3555,1.59E-11
426,2091.5158,58307,16589,16662,21388,3668,1.59E-11
427,2101.8436,58475,16594,16692,21415,3774,1.59E-11
428,2112.1586,58669,16620,16705,21473,3871,1.60E-11
429,2122.4886,58887,16655,16725,21535,3972,1.60E-11
430,2132.9934,59095,16691,16730,21590,4084,1.60E-11
431,2143.4988,59293,16717,16750,21630,4196,1.60E-11
432,2154.0252,59500,16732,16779,21680,4309,1.61E-11
433,2164.6297,59699,16754,16813,21723,4409,1.61E-11
434,2175.1087,59897,16767,16851,21761,4518,1.61E-11
435,2185.7482,60139,16813,16901,21797,4628,1.61E-11
436,2196.3476,60355,16851,16924,21843,4737,1.62E-11
437,2207.0543,60578,16879,16949,21896,4854,1.62E-11
438,2217.8801,60824,16906,16994,21942,4982,1.62E-11
439,2228.7652,61026,16925,17020,21989,5092,1.62E-11
440,2239.9139,61222,16945,17045,22029,5203,1.63E-11
441,2251.3775,61445,16981,17082,22078,5304,1.63E-11
442,2262.9578,61624,17006,17083,22117,5418,1.63E-11
443,2274.8038,61887,17041,17140,22182,5524,1.64E-11
444,2286.9103,62118,17087,17165,22231,5635,1.64E-11
445,2299.0615,62354,17123,17197,22283,5751,1.64E-11
446,2311.2551,62562,17160,17217,22305,5880,1.64E-11
447,2323.3896,62786,17183,17261,22336,6006,1.65E-11
448,2335.7954,63001,17206,17273,22385,6137,1.65E-11
449,2348.1276,63227,17225,17297,22422,6283,1.65E-11
450,2360.7012,63467,17269,17330,22461,6407,1.65E-11
451,2373.1093,63702,17318,17370,22508,6506,1.66E-11
452,2385.4083,63899,17334,17396,22511,6658,1.66E-11
453,2397.9555,64125,17357,17434,22554,6780,1.66E-11
454,2410.6871,64356,17401,17456,22583,6916,1.67E-11
455,2423.5161,64541,17431,17474,22603,7033,1.67E-11
456,2436.5511,64755,17450,17499,22632,7174,1.67E-11
457,2449.4332,64981,17480,17520,22672,7309,1.67E-11
458,2462.4581,65226,17517,17570,22706,7433,1.68E-11
459,2475.6829,65470,17537,17620,22756,7557,1.68E-11
460,2489.2948,65689,17566,17640,22797,7686,1.68E-11
461,2502.846,65923,17580,17680,22839,7824,1.69E-11
462,2516.6301,66174,17604,17728,22889,7953,1.69E-11
463,2530.5279,66397,17650,17758,22903,8086,1.69E-11
464,2544.3053,66621,17681,17767,22924,8249,1.69E-11
465,2558.3023,66879,17721,17797,22956,8405,1.70E-11
466,2572.2719,67127,17745,17843,22995,8544,1.70E-11
467,2586.3689,67373,17782,17881,23023,8687,1.70E-11
468,2600.2516,67627,17827,17903,23066,8831,1.71E-11
469,2614.232,67878,17855,17945,23097,8981,1.71E-11
470,2628.4225,68107,17897,17954,23114,9142,1.71E-11
471,2642.2514,68344,17938,17975,23142,9289,1.72E-11
472,2655.9891,68617,17997,18014,23177,9429,1.72E-11
473,2669.8881,68860,18026,18050,23218,9566,1.72E-11
474,2683.8371,69097,18072,18079,23237,9709,1.72E-11
475,2697.9969,69351,18115,18114,23261,9861,1.73E-11
476,2712.273,69589,18168,18129,23294,9998,1.73E-11
477,2726.7259,69828,18197,18161,23313,10157,1.73E-11
478,2741.2932,70070,18234,18184,23320,10332,1.74E-11
479,2756.2485,70339,18286,18228,23337,10488,1.74E-11
480,2771.526,70582,18313,18260,23376,10633,1.74E-11
481,2786.6023,70830,18355,18291,23401,10783,1.75E-11
482,2801.8347,71069,18387,18325,23409,10948,1.75E-11
483,2817.1573,71310,18421,18358,23423,11108,1.75E-11
484,2832.4291,71567,18460,18394,23451,11262,1.76E-11
